,OptimalSolution,ReducedCosts,MinValue,MaxValue,Span,MinStatus,MaxStstus
R_VALtex_dleu_time25,0.0,0.0,-0.226100357066341,0.008869071714895474,0.2349694288,1.0,1.0
R_VALtex_dleu_time26,0.0,0.0,-0.2471115535012675,0.009693267455699754,0.256804821,1.0,1.0
R_VALtex_dleu_time27,0.0010762489075052909,0.0,-0.2700755636981166,0.010593239355119896,0.2806688031,1.0,1.0
R_VALtex_dleu_time28,0.001169020010232206,0.0,-0.2951732992361409,0.01157637441848793,0.3067496737,1.0,1.0
R_VALtex_dleu_time29,0.0,0.0,-0.3226346162290351,0.012650240287372638,0.3352848565,1.0,1.0
R_VALtex_dleu_time30,0.0,0.0,-0.35258347222861364,0.013823650486480257,0.3664071227,1.0,1.0
R_VALtex_dleu_time31,0.00048634528529792223,0.0,-0.38535706643665196,0.015104325019347472,0.4004613915,1.0,1.0
R_VALtex_dleu_time32,0.0009741443275649237,0.0,-0.4211774069141424,0.01650309535411696,0.4376805023,1.0,1.0
R_VALtex_dleu_time33,0.0,0.0,-0.4602960587415153,0.017456538071901066,0.4777525968,1.0,1.0
R_VALtex_dleu_time34,0.0005510989783114349,0.0,-0.5030720253101666,0.017456538071901062,0.5205285634,1.0,1.0
R_VALtex_dleu_time35,0.0010189799579231155,0.0,-0.5498068727945669,0.017456538071901038,0.5672634109,1.0,1.0
R_VALtex_dleu_time36,0.0004842665756167258,0.0,-0.6008648733582047,0.017456538071901086,0.6183214114,1.0,1.0
R_VALtex_dleu_time37,0.0,0.0,-0.6566951936512919,0.01745653807190105,0.6741517317,1.0,1.0
R_VALtex_dleu_time38,0.0,0.0,-0.7176467613764397,0.017456538071901142,0.7351032994,1.0,1.0
R_VALtex_dleu_time39,0.0,0.0,-0.7842947245000922,0.01745653807190106,0.8017512626,1.0,1.0
R_VALtex_dleu_time40,0.0,0.0,-0.8571297230007482,0.01745653807190106,0.8745862611,1.0,1.0
R_VALtex_dleu_time41,0.0010428091945983893,0.0,-0.9368315189278438,0.017456538071901048,0.954288057,1.0,1.0
R_VALtex_dleu_time42,0.0,0.0,-1.0231870681777049,0.01745653807190108,1.0406436062,1.0,1.0
R_VALtex_dleu_time43,0.0,0.0,-1.1120564128113473,0.017456538071901038,1.1295129509,1.0,1.0
R_VALtex_dleu_time44,0.006048350201094911,0.0,-1.2004493929901774,0.017456538071901073,1.2179059311,1.0,1.0
R_VALtex_dlys_time00,-0.0009471794294183087,0.0,-0.005399999999499305,0.0040766718228264255,0.0094766718,1.0,1.0
R_VALtex_dlys_time01,0.0001620518465512009,0.0,-0.01079999999899861,0.008153343645652851,0.0189533436,1.0,1.0
R_VALtex_dlys_time02,0.00022049385888913182,0.0,-0.016199999998497916,0.012230015468479278,0.0284300155,1.0,1.0
R_VALtex_dlys_time03,0.000319612372700591,0.0,-0.02159999999799722,0.016306687291305702,0.0379066873,1.0,1.0
R_VALtex_dlys_time04,-0.0005067468448015962,0.0,-0.026999999997496527,0.020383359114132155,0.0473833591,1.0,1.0
R_VALtex_dlys_time05,0.00034368368093203803,0.0,-0.03239999999699583,0.024460030936958553,0.0568600309,1.0,1.0
R_VALtex_dlys_time06,0.0,0.0,-0.03779999999649512,0.028536702759784968,0.0663367028,1.0,1.0
R_VALtex_dlys_time07,-0.002051933000584922,0.0,-0.043199999995994436,0.032613374582611404,0.0758133746,1.0,1.0
R_VALtex_dlys_time08,0.0016185014199084145,0.0,-0.04864525031157514,0.036690046405437826,0.0853352967,1.0,1.0
R_VALtex_dlys_time09,-0.0006728160613961334,0.0,-0.05411181615357392,0.04076671822826427,0.0948785344,1.0,1.0
R_VALtex_dlys_time10,0.0,0.0,-0.05959270372103268,0.044903663481314936,0.1044963672,1.0,1.0
R_VALtex_dlys_time11,0.00030140758943284515,0.0,-0.06516474207402638,0.04929852388726442,0.114463266,1.0,1.0
R_VALtex_dlys_time12,0.0002053369202177358,0.0,-0.07123181694069355,0.0539808491877174,0.1252126661,1.0,1.0
R_VALtex_dlys_time13,0.0,0.0,-0.07783889045134877,0.059013906392103826,0.1368527968,1.0,1.0
R_VALtex_dlys_time14,-0.00046713756752702305,0.0,-0.08507244695345806,0.06450554170957098,0.1495779887,1.0,1.0
R_VALtex_dlys_time15,-0.00028920864841361474,0.0,-0.0929782083740688,0.07049179510325292,0.1634700035,1.0,1.0
R_VALtex_dlys_time16,-0.00020049807823267255,0.0,-0.10161854637241927,0.07704290697268268,0.1786614533,1.0,1.0
R_VALtex_dlys_time17,0.0,0.0,-0.11106180990044894,0.08420199851801038,0.1952638084,1.0,1.0
R_VALtex_dlys_time18,-0.0005283291753678012,0.0,-0.1213826950521545,0.09202887391659569,0.213411569,1.0,1.0
R_VALtex_dlys_time19,-0.0002535139569514568,0.0,-0.1326626918384799,0.10059582615810816,0.233258518,1.0,1.0
R_VALtex_dlys_time20,-0.00013568957329619435,0.0,-0.14499094544477645,0.1099255095598691,0.254916455,1.0,1.0
R_VALtex_dlys_time21,0.0,0.0,-0.15846571935776155,0.12014079924264662,0.2786065186,1.0,1.0
R_VALtex_dlys_time22,-0.0005785795451424647,0.0,-0.1732242302640969,0.13130539196299693,0.3045296222,1.0,1.0
R_VALtex_dlys_time23,-0.0003463407898029867,0.0,-0.18928531489750192,0.14351194685474755,0.3327972618,1.0,1.0
R_VALtex_dlys_time24,0.0,0.0,-0.20687544963755322,0.15684352875369156,0.3637189784,1.0,1.0
R_VALtex_dlys_time25,0.0,0.0,-0.2261142353756017,0.17141887774349657,0.3975331131,1.0,1.0
R_VALtex_dlys_time26,0.0,0.0,-0.24711166682957603,0.18734869141536467,0.4344603582,1.0,1.0
R_VALtex_dlys_time27,-0.0010762489075052909,0.0,-0.27007563652908995,0.20478322102317192,0.4748588576,1.0,1.0
R_VALtex_dlys_time28,-0.001169020010232206,0.0,-0.29520400249649814,0.2237875234560911,0.518991526,1.0,1.0
R_VALtex_dlys_time29,0.0,0.0,-0.32260405073881443,0.2445889452875614,0.567192996,1.0,1.0
R_VALtex_dlys_time30,0.0,0.0,-0.3525828043804769,0.26731840034600374,0.6199012047,1.0,1.0
R_VALtex_dlys_time31,-0.00048634528529792223,0.0,-0.38535690390229993,0.2921525069541127,0.6775094109,1.0,1.0
R_VALtex_dlys_time32,-0.0009741443275649237,0.0,-0.42117954383312917,0.31930099959406666,0.7404805434,1.0,1.0
R_VALtex_dlys_time33,0.0,0.0,-0.46029606134403944,0.34897237994114355,0.8092684413,1.0,1.0
R_VALtex_dlys_time34,-0.0005510989783114349,0.0,-0.503071204173066,0.3814300723419685,0.8845012765,1.0,1.0
R_VALtex_dlys_time35,-0.0010189799579231155,0.0,-0.5498562583761522,0.4168384673658221,0.9666947257,1.0,1.0
R_VALtex_dlys_time36,-0.0004842665756167258,0.0,-0.6008648699952737,0.4555532364664802,1.0564181065,1.0,1.0
R_VALtex_dlys_time37,0.0,0.0,-0.6567020373752118,0.49786023254157874,1.1545622699,1.0,1.0
R_VALtex_dlys_time38,0.0,0.0,-0.7176456437571084,0.5441275054241266,1.2617731492,1.0,1.0
R_VALtex_dlys_time39,0.0,0.0,-0.7842915136122495,0.5946264199357936,1.3789179335,1.0,1.0
R_VALtex_dlys_time40,0.0,0.0,-0.8571267041335804,0.6498414313187567,1.5069681355,1.0,1.0
R_VALtex_dlys_time41,-0.0010428091945983893,0.0,-0.9367227400892103,0.7101891255999845,1.6469118657,1.0,1.0
R_VALtex_dlys_time42,0.0,0.0,-1.0231893886702976,0.7755189412806109,1.79870833,1.0,1.0
R_VALtex_dlys_time43,0.0,0.0,-1.1124656943226836,0.8422555689045428,1.9547212632,1.0,1.0
R_VALtex_dlys_time44,-0.006048350201094911,0.0,-1.2010340070579493,0.9089921965284746,2.1100262036,1.0,1.0
R_LEUtex_dleu_time00,0.0,0.0,0.0,0.00022613142904182178,0.0002261314,1.0,1.0
R_LEUtex_dleu_time01,3.997893511161654e-05,0.0,0.0,0.0004520163091977431,0.0004520163,1.0,1.0
R_LEUtex_dleu_time02,0.00022049385888913182,0.0,0.0,0.0006779371489844173,0.0006779371,1.0,1.0
R_LEUtex_dleu_time03,0.0,0.0,0.0,0.0009038579887710917,0.000903858,1.0,1.0
R_LEUtex_dleu_time04,7.41217077150869e-05,0.0,0.0,0.0011297788285577655,0.0011297788,1.0,1.0
R_LEUtex_dleu_time05,0.0,0.0,0.0,0.0013556996683444407,0.0013556997,1.0,1.0
R_LEUtex_dleu_time06,9.922448301595006e-05,0.0,0.0,0.001581620508131116,0.0015816205,1.0,1.0
R_LEUtex_dleu_time07,0.0004607644772114671,0.0,0.0,0.0018075413479177905,0.0018075413,1.0,1.0
R_LEUtex_dleu_time08,0.0,0.0,0.0,0.002033462222636922,0.0020334622,1.0,1.0
R_LEUtex_dleu_time09,0.0003204148395366818,0.0,0.0,0.0022593830274911363,0.002259383,1.0,1.0
R_LEUtex_dleu_time10,0.00039483009094300084,0.0,0.0,0.002485303867277815,0.0024853039,1.0,1.0
R_LEUtex_dleu_time11,0.00010469983595052349,0.0,0.0,0.002717366880814373,0.0027173669,1.0,1.0
R_LEUtex_dleu_time12,0.0002053369202177358,0.0,0.0,0.0029699579223298276,0.0029699579,1.0,1.0
R_LEUtex_dleu_time13,0.0,0.0,0.0,0.003245879393639624,0.0032458794,1.0,1.0
R_LEUtex_dleu_time14,0.0004965960181108034,0.0,0.0,0.0035479745925065913,0.0035479746,1.0,1.0
R_LEUtex_dleu_time15,0.0003074466135654998,0.0,0.0,0.0038771841028165622,0.0038771841,1.0,1.0
R_LEUtex_dleu_time16,0.00021314181134330154,0.0,0.0,0.004237855702153875,0.0042378557,1.0,1.0
R_LEUtex_dleu_time17,0.0,0.0,0.0,0.00463182645785775,0.0046318265,1.0,1.0
R_LEUtex_dleu_time18,0.0005616464677168944,0.0,0.0,0.005061654898033086,0.0050616549,1.0,1.0
R_LEUtex_dleu_time19,0.0002695009571250646,0.0,0.0,0.0055320287770124444,0.0055320288,1.0,1.0
R_LEUtex_dleu_time20,0.00014424637726047617,0.0,0.0,0.006046116686364034,0.0060461167,1.0,1.0
R_LEUtex_dleu_time21,0.0,0.0,0.0,0.006607976471049408,0.0066079765,1.0,1.0
R_LEUtex_dleu_time22,0.0006150657070874248,0.0,0.0,0.007222050428398701,0.0072220504,1.0,1.0
R_LEUtex_dleu_time23,0.0003681816001997407,0.0,0.0,0.00789318979836943,0.0078931898,1.0,1.0
R_LEUtex_dleu_time24,0.0,0.0,0.0,0.008626697613200805,0.0086266976,1.0,1.0
R_LEUtex_dleu_time25,0.0,0.0,0.0,0.009428373420782536,0.0094283734,1.0,1.0
R_LEUtex_dleu_time26,0.0,0.0,0.0,0.010304750782681992,0.0103047508,1.0,1.0
R_LEUtex_dleu_time27,0.0011441189044002797,0.0,0.0,0.011261266256467818,0.0112612663,1.0,1.0
R_LEUtex_dleu_time28,0.0012427403029185438,0.0,0.0,0.012306126826915263,0.0123061268,1.0,1.0
R_LEUtex_dleu_time29,0.0,0.0,0.0,0.013449952130515256,0.0134499521,1.0,1.0
R_LEUtex_dleu_time30,0.0,0.0,0.0,0.014694765500595109,0.0146947655,1.0,1.0
R_LEUtex_dleu_time31,0.0005170150056320174,0.0,0.0,0.016056828185683065,0.0160568282,1.0,1.0
R_LEUtex_dleu_time32,0.0010355754444989758,0.0,0.0,0.017543804581878934,0.0175438046,1.0,1.0
R_LEUtex_dleu_time33,0.0,0.0,0.0,0.018557375651667,0.0185573757,1.0,1.0
R_LEUtex_dleu_time34,0.0005858521712633594,0.0,0.0,0.018557375597937183,0.0185573756,1.0,1.0
